timestamp,lat,lon,GHI,timestep
2025-06-14 11:30:00,37.4,126.8,904.7316284179688,1
2025-06-14 12:00:00,37.4,126.8,902.4265747070312,2
2025-06-14 12:30:00,37.4,126.8,883.5142211914062,3
2025-06-14 13:00:00,37.4,126.8,860.8699340820312,4
2025-06-14 13:30:00,37.4,126.8,829.6973876953125,5
2025-06-14 14:00:00,37.4,126.8,787.1942138671875,6
2025-06-14 11:30:00,37.4,126.82105263157895,850.6094970703125,1
2025-06-14 12:00:00,37.4,126.82105263157895,848.2630004882812,2
2025-06-14 12:30:00,37.4,126.82105263157895,829.9901733398438,3
2025-06-14 13:00:00,37.4,126.82105263157895,804.3545532226562,4
2025-06-14 13:30:00,37.4,126.82105263157895,768.8944091796875,5
2025-06-14 14:00:00,37.4,126.82105263157895,728.36669921875,6
2025-06-14 11:30:00,37.4,126.84210526315789,658.551513671875,1
2025-06-14 12:00:00,37.4,126.84210526315789,661.4467163085938,2
2025-06-14 12:30:00,37.4,126.84210526315789,652.1787719726562,3
2025-06-14 13:00:00,37.4,126.84210526315789,632.3367919921875,4
2025-06-14 13:30:00,37.4,126.84210526315789,604.7869873046875,5
2025-06-14 14:00:00,37.4,126.84210526315789,586.0762329101562,6
2025-06-14 11:30:00,37.4,126.86315789473684,642.0092163085938,1
2025-06-14 12:00:00,37.4,126.86315789473684,665.8048706054688,2
2025-06-14 12:30:00,37.4,126.86315789473684,672.0206909179688,3
2025-06-14 13:00:00,37.4,126.86315789473684,660.5693969726562,4
2025-06-14 13:30:00,37.4,126.86315789473684,637.0066528320312,5
2025-06-14 14:00:00,37.4,126.86315789473684,620.1583251953125,6
2025-06-14 11:30:00,37.4,126.88421052631578,651.9819946289062,1
2025-06-14 12:00:00,37.4,126.88421052631578,626.325927734375,2
2025-06-14 12:30:00,37.4,126.88421052631578,595.1619262695312,3
2025-06-14 13:00:00,37.4,126.88421052631578,561.85693359375,4
2025-06-14 13:30:00,37.4,126.88421052631578,526.8974609375,5
2025-06-14 14:00:00,37.4,126.88421052631578,501.1204528808594,6
2025-06-14 11:30:00,37.4,126.90526315789474,676.4609375,1
2025-06-14 12:00:00,37.4,126.90526315789474,643.0947265625,2
2025-06-14 12:30:00,37.4,126.90526315789474,608.5174560546875,3
2025-06-14 13:00:00,37.4,126.90526315789474,576.2591552734375,4
2025-06-14 13:30:00,37.4,126.90526315789474,543.9608154296875,5
2025-06-14 14:00:00,37.4,126.90526315789474,517.2161865234375,6
2025-06-14 11:30:00,37.4,126.92631578947368,692.8912963867188,1
2025-06-14 12:00:00,37.4,126.92631578947368,655.6666259765625,2
2025-06-14 12:30:00,37.4,126.92631578947368,619.0449829101562,3
2025-06-14 13:00:00,37.4,126.92631578947368,587.2601928710938,4
2025-06-14 13:30:00,37.4,126.92631578947368,556.2192993164062,5
2025-06-14 14:00:00,37.4,126.92631578947368,527.6665649414062,6
2025-06-14 11:30:00,37.4,126.94736842105263,663.9835815429688,1
2025-06-14 12:00:00,37.4,126.94736842105263,628.8649291992188,2
2025-06-14 12:30:00,37.4,126.94736842105263,594.8121948242188,3
2025-06-14 13:00:00,37.4,126.94736842105263,565.6737670898438,4
2025-06-14 13:30:00,37.4,126.94736842105263,538.0993041992188,5
2025-06-14 14:00:00,37.4,126.94736842105263,513.2062377929688,6
2025-06-14 11:30:00,37.4,126.96842105263158,726.6139526367188,1
2025-06-14 12:00:00,37.4,126.96842105263158,707.4269409179688,2
2025-06-14 12:30:00,37.4,126.96842105263158,682.2817993164062,3
2025-06-14 13:00:00,37.4,126.96842105263158,653.1940307617188,4
2025-06-14 13:30:00,37.4,126.96842105263158,619.5863037109375,5
2025-06-14 14:00:00,37.4,126.96842105263158,591.1173706054688,6
2025-06-14 11:30:00,37.4,126.98947368421052,737.8984375,1
2025-06-14 12:00:00,37.4,126.98947368421052,731.2583618164062,2
2025-06-14 12:30:00,37.4,126.98947368421052,716.0987548828125,3
2025-06-14 13:00:00,37.4,126.98947368421052,690.8795166015625,4
2025-06-14 13:30:00,37.4,126.98947368421052,660.573974609375,5
2025-06-14 14:00:00,37.4,126.98947368421052,631.0325317382812,6
2025-06-14 11:30:00,37.4,127.01052631578948,783.0352783203125,1
2025-06-14 12:00:00,37.4,127.01052631578948,779.9625244140625,2
2025-06-14 12:30:00,37.4,127.01052631578948,766.412841796875,3
2025-06-14 13:00:00,37.4,127.01052631578948,741.0623779296875,4
2025-06-14 13:30:00,37.4,127.01052631578948,709.1780395507812,5
2025-06-14 14:00:00,37.4,127.01052631578948,677.3933715820312,6
2025-06-14 11:30:00,37.4,127.03157894736842,821.6608276367188,1
2025-06-14 12:00:00,37.4,127.03157894736842,807.17138671875,2
2025-06-14 12:30:00,37.4,127.03157894736842,784.3032836914062,3
2025-06-14 13:00:00,37.4,127.03157894736842,754.7144165039062,4
2025-06-14 13:30:00,37.4,127.03157894736842,718.1710815429688,5
2025-06-14 14:00:00,37.4,127.03157894736842,680.3637084960938,6
2025-06-14 11:30:00,37.4,127.05263157894737,859.422119140625,1
2025-06-14 12:00:00,37.4,127.05263157894737,850.4923706054688,2
2025-06-14 12:30:00,37.4,127.05263157894737,832.5231323242188,3
2025-06-14 13:00:00,37.4,127.05263157894737,811.5201416015625,4
2025-06-14 13:30:00,37.4,127.05263157894737,784.1441040039062,5
2025-06-14 14:00:00,37.4,127.05263157894737,748.07080078125,6
2025-06-14 11:30:00,37.4,127.07368421052632,855.2178344726562,1
2025-06-14 12:00:00,37.4,127.07368421052632,841.9901123046875,2
